dt,metric_name,metric_value
20210217214112,Current Open Cursors Count,41.0
20210217214112,Network Traffic Volume Per Sec,1263.8383163521
20210217214112,Database Wait Time Ratio,1.19085269211367
20210217214112,Database CPU Time Ratio,98.8091473078863
20210217214112,SQL Service Response Time,10.1809114529915
20210217214112,Response Time Per Txn,110.293207407407
20210226202632,Session Count,10.0
20210226202632,PQ QC Session Count,0.0
20210226202632,PQ Slave Session Count,0.0
20210226202632,Average Active Sessions,1.00084472018654
20210226202632,Active Serial Sessions,1.0
20210226202632,Active Parallel Sessions,0.0
20210226202632,CPU Usage Per Sec,99.2900199866755
20210226202632,CPU Usage Per Txn,5961.3728
20210226202632,Background CPU Usage Per Sec,0.0447984676882079
20210226202632,Background Time Per Sec,0.0005330946035976
20210226202632,User Commits Per Sec,0.0
20210226202632,User Commits Percentage,0.0
20210226202632,Open Cursors Per Sec,0.216522318454364
20210226202632,Open Cursors Per Txn,13.0
20210226202632,Redo Generated Per Sec,25.8494337108594
20210226202632,Redo Generated Per Txn,1552.0
20210226202632,Logical Reads Per Sec,1215.70619586942
20210226202632,Logical Reads Per Txn,72991.0
20210226202632,Executions Per Sec,0.416389073950699
20210226202632,Executions Per Txn,25.0
20210226202632,Physical Reads Per Sec,1215.05662891406
20210226202632,Physical Reads Per Txn,72952.0
20210226202632,Physical Writes Per Sec,0.0
20210226202632,Physical Writes Per Txn,0.0
20210226202632,Physical Write Bytes Per Sec,0.0
20210226202632,Physical Write Total Bytes Per Sec,2183.07794803464
20210226202632,Physical Read Bytes Per Sec,9953743.90406396
20210226202632,Physical Read Total Bytes Per Sec,9955654.09726849
20210226202632,DB Block Changes Per Sec,0.149900066622252
20210226202632,DB Block Changes Per Txn,9.0
20210226202632,Total Parse Count Per Sec,0.24983344437042
20210226202632,Total Parse Count Per Txn,15.0
20210226202632,Hard Parse Count Per Sec,0.0
20210226202632,Hard Parse Count Per Txn,0.0
20210226202632,Soft Parse Ratio,100.0
20210226202632,Execute Without Parse Ratio,40.0
20210226202632,Parse Failure Count Per Sec,0.0
20210226202632,Logons Per Sec,0.0
20210226202632,Logons Per Txn,0.0
20210226202632,User Transaction Per Sec,0.0
20210226202632,User Calls Per Sec,0.216522318454364
20210226202632,User Calls Per Txn,13.0
20210226202632,User Rollbacks Per Sec,0.0
20210226202632,User Rollbacks Percentage,0.0
20210226202632,Current Logons Count,6.0
20210226202632,Current Open Cursors Count,29.0
20210226202632,Network Traffic Volume Per Sec,85.2265156562292
20210226202632,Database Wait Time Ratio,0.793781508714566
20210226202632,Database CPU Time Ratio,99.2062184912854
20210226202632,SQL Service Response Time,39.7951768211921
20210226202632,Response Time Per Txn,6009.0717
20210226202732,Session Count,8.0
20210226202732,PQ QC Session Count,0.0
20210226202732,PQ Slave Session Count,0.0
20210226202732,Average Active Sessions,1.05135341987019
20210226202732,Active Serial Sessions,1.0
20210226202732,Active Parallel Sessions,0.0
20210226202732,CPU Usage Per Sec,101.113716092528
20210226202732,CPU Usage Per Txn,6075.9232
20210226202732,Background CPU Usage Per Sec,0.0825611582626061
20210226202732,Background Time Per Sec,0.0009762855716425
20210226202732,User Commits Per Sec,0.0
20210226202732,User Commits Percentage,0.0
20210226202732,Open Cursors Per Sec,208.187718422366
20210226202732,Open Cursors Per Txn,12510.0
20210226202732,Redo Generated Per Sec,95.3236811449492
20210226202732,Redo Generated Per Txn,5728.0
20210226202732,Logical Reads Per Sec,3170.37776668331
20210226202732,Logical Reads Per Txn,190508.0
20210226202732,Executions Per Sec,208.437343984024
20210226202732,Executions Per Txn,12525.0
